#CODE;ENGLISH;;;;;;;;;x 
AIREASON_AMBITION;Ambition;;;;;;;;;x 
STAT_DEMESNE_SIZE_MENU;§YDemesne Size§!;;;;;;;;;x 
STAT_VASSAL_LIMIT_MENU;§YVassal Limit§!;;;;;;;;;x 
STAT_REALM_SIZE_MENU;§YRealm Size§!;;;;;;;;;x 
STAT_SCORE_MENU;§YScore§!;;;;;;;;;x 
STAT_POPULATION_MENU;§YPopulation§!;;;;;;;;;x 
STAT_MANPOWER_MENU;§YManpower§!;;;;;;;;;x 
TECHNOLOGY;Technology;;;;;;;;;x 
LAW;Laws;;;;;;;;;x 
MILITARY;Military;;;;;;;;;x 
INTRIGUE;Intrigue;;;;;;;;;x 
DEMESNE_INTERFACE_LABEL;§YDemesne§!;;;;;;;;;x 
TRADE_INTERFACE_LABEL;§YTrade§!;;;;;;;;;x 
FORTS_INTERFACE_LABEL;§YForts§!;;;;;;;;;x 
SIEGES_INTERFACE_LABEL;§YSieges§!;;;;;;;;;x 
ENEMY_SIEGES_INTERFACE_LABEL;§YHostile Sieges§!;;;;;;;;;x 
COMBATS_INTERFACE_LABEL;§YLand Combat§!;;;;;;;;;x 
ARMIES_INTERFACE_LABEL;§YArmies§!;;;;;;;;;x 
NAVIES_INTERFACE_LABEL;§YNavies§!;;;;;;;;;x 
MESSAGERULES_INTERFACE_LABEL;§YMessage Rules§!;;;;;;;;;x 
SPECIAL_INTEREST_CHARACTERS_INTERFACE_LABEL;§YCharacters of Special Interest§!;;;;;;;;;x 
OL_COURT_INTERFACE_LABEL;§YCourt§!;;;;;;;;;x 
OL_MP_PLAYERLIST_INTERFACE_LABEL;§YPlayers in Multiplayer§!;;;;;;;;;x 
OL_DISABLED_ALERTS_INTERFACE_LABEL;§YDisabled Alerts§!;;;;;;;;;x 
MESSWINDOW_HIGHPRIO_INTERFACE_LABEL;§YHigh Priority Messages§!;;;;;;;;;x 
MESSWINDOW_LOWPRIO_INTERFACE_LABEL;§YLow Priority Messages§!;;;;;;;;;x 
FC_FIND_CHARACTERS_INTERFACE_LABEL;§YFind Characters§!;;;;;;;;;x 
MAIN_MENU_INTERFACE_LABEL;§YMain Menu§!;;;;;;;;;x 
ZOOM_IN_INTERFACE_LABEL;§YZoom in§!;;;;;;;;;x 
ZOOM_OUT_INTERFACE_LABEL;§YZoom out§!;;;;;;;;;x 
HOME_INTERFACE_LABEL;§YGo to Home Province§!;;;;;;;;;x 
LEDGER_MENU_INTERFACE_LABEL;§YLedger§!;;;;;;;;;x 
LOGGER_MENU_INTERFACE_LABEL;§YMessage Log§!;;;;;;;;;x 
FIND_PROVINCE_INTERFACE_LABEL;§YFind Title or Region§!;;;;;;;;;x 
OPEN_CHRONICLE_INTERFACE_LABEL;§YOpen Chronicle§!;;;;;;;;;x 
DYNASTYTREE_INTERFACE_LABEL;§YDynasty Tree§!;;;;;;;;;x 
FAMILYTREE_INTERFACE_LABEL;§YFamily Tree§!;;;;;;;;;x 
REALM_TREE_INTERFACE_LABEL;§YRealm Tree§!;;;;;;;;;x 
b_qinggil;Qinggil;;;;;;;;;x 
b_koktokay;Koktokay;;;;;;;;;x 
b_burqin;Burqin;;;;;;;;;x 
b_burultokay;Burultokay;;;;;;;;;x 
b_kokagax;Kokagax;;;;;;;;;x 
b_jeminay;Jeminay;;;;;;;;;x 
b_beshbalik;Beshbalik;;;;;;;;;x 
b_gucheng;Gucheng;;;;;;;;;x 
b_mori;Mori;;;;;;;;;x 
b_jiangjunmiao;Jiangjunmiao;;;;;;;;;x 
b_zyryan;Zyryan;;;;;;;;;x 
b_oskemen;Öskemen;;;;;;;;;x 
b_urunkhayka;Urunkhayka;;;;;;;;;x 
b_kurchum;Kurchum;;;;;;;;;x 
b_uryl;Uryl;;;;;;;;;x 
b_turan;Turan;;;;;;;;;x 
b_chadaana;Chadaana;;;;;;;;;x 
b_ulala;Ulala;;;;;;;;;x 
b_ulagan;Ulagan;;;;;;;;;x 
b_sayan;Sayan;;;;;;;;;x 
b_khori_tumed;Khori-Tümed;;;;;;;;;x 
b_kyren;Kyren;;;;;;;;;x 
b_kutulik;Kutulik;;;;;;;;;x 
b_tulun;Tulun;;;;;;;;;x 
b_korya;Korya;;;;;;;;;x 
b_semey;Semey;;;;;;;;;x 
b_aqsw;Aqsw;;;;;;;;;x 
b_ekibastuz;Ekibastuz;;;;;;;;;x 
b_ertis;Ertis;;;;;;;;;x 
b_koktobe;Koktobe;;;;;;;;;x 
b_abaza;Abaza;;;;;;;;;x 
b_tashtyp;Tashtyp;;;;;;;;;x 
b_terkhiin_tsagaan;Terkhiin Tsagaan;;;;;;;;;x 
b_ogii;Ögii;;;;;;;;;x 
b_tsetserleg;Tsetserleg;;;;;;;;;x 
b_uliastai;Uliastai;;;;;;;;;x 
b_orgil;Orgil;;;;;;;;;x 
b_erdenet;Erdenet;;;;;;;;;x 
b_luut;Luut;;;;;;;;;x 
b_noin_ula;Noin Ula;;;;;;;;;x 
b_zuunmod;Zuunmod;;;;;;;;;x 
b_khamag;Khamag;;;;;;;;;x 
b_lun;Lün;;;;;;;;;x 
b_bayan;Bayan;;;;;;;;;x 
b_darkhan;Darkhan;;;;;;;;;x 
b_bargujin;Bargujin;;;;;;;;;x 
b_merkit;Merkit;;;;;;;;;x 
b_kyakhta;Kyakhta;;;;;;;;;x 
b_uda;Uda;;;;;;;;;x 
b_galuuta;Galuuta;;;;;;;;;x 
b_barkul;Barkul;;;;;;;;;x 
b_khoid;Khoid;;;;;;;;;x 
b_erdene;Erdene;;;;;;;;;x 
b_gurvantes;Gurvantes;;;;;;;;;x 
b_khereid;Khereid;;;;;;;;;x 
b_zubu;Zübü;;;;;;;;;x 
b_nuuruudyn_hondij;Nuuruudyn Hondij;;;;;;;;;x 
b_arguut;Arguut;;;;;;;;;x 
b_khuld;Khuld;;;;;;;;;x 
b_naiman;Naiman;;;;;;;;;x 
b_khovd;Khovd;;;;;;;;;x 
b_khar;Khar;;;;;;;;;x 
b_mankhan;Mankhan;;;;;;;;;x 
b_darvi;Darvi;;;;;;;;;x 
b_khaliun;Khaliun;;;;;;;;;x 
HAS_LESS_SETTLEMENTS;Less than §Y$VAL$§! holdings.;;;;;;;;;x 
HAS_LEAST_SETTLEMENTS;At least §Y$VAL$§! holdings.;;;;;;;;;x 
CAPTAIN_female; ;;;;;;;;;x 
messalian_FEATURES;§Y*§! Women may hold all councillor positions\n§Y*§! Women may lead armies;;;;;;;;;x 
CONFIRM_BUILD_EXTRA_PRESTIGE_OR_PIETY_HOLDING_DESC;Are you sure you want to build a $TYPE$?\nIt will cost you §Y$COST$§! and will be finished on §Y$FINISHED$§!;;;;;;;;;x 
EVTDESC_HL_10501B;[eloper.GetFirstName] has eloped with the notorious mercenary [From.GetFirstName].;;;;;;;;;x 
recently_burnt_the_land_not_owner;Recently burned the Land;;;;;;;;;x 
PRESTIGE_LAW_PASSED_LOG;§Y$RULER$§! has instituted the §Y$LAW$§! Law in §Y$TITLE$§!.;;;;;;;;;x 
EVTTITLE_HL_1031;[From.GetSonDaughter] of the Wolf?;;;;;;;;;x 
